mz,rt,group,CMP,intensity,annotation,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5,neutral_mass,cmp_ppm,size,intensity_rel,isogroup,isonr,charge,adduct_ion,ppm
339.6201028,794,M340_R794_3650,CMP1497,4818,none,7261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.1511,23.84,3,48.10799329,NA,NA,NA,NA,NA
340.103363,241,M340_R241_3651,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.1130371,883,M340_R883_3652,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8468,0,0,0,9648,9794,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.1275146,570,M340_R570_3653,CMP820,9204,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7094,0,0,0,0,399.1769,0.74,4,39.309294,NA,NA,NA,[M-H-C3H6O]-,0.738223132
340.1855437,386,M340_R386_3654,NA,0,none,0,0,0,0,0,7046,0,0,0,6707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17956,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.1875094,691,M340_R691_3655,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12963,15288,8032,15256,8698,0,0,0,0,0,0,0,0,0,0,0,0,0,33399,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2037048,796,M340_R796_3656,CMP1498,238017,none,509189,106564,75207,88829,88578,99368,150127,107447,71343,71759,0,201559,450522,590592,93876,133057,146817,100114,113860,95777,53500,256564,88678,262665,301457,217288,262178,187074,132384,152464,52016,172296,249938,68736,191864,221490,233593,96275,124955,96280,92461,44394,341.211,NA,3,100,1,0,1,[M-H]-,NA
340.2128906,435,M340_R435_3657,NA,0,none,0,0,16027,29551,25787,22352,0,0,0,6221,0,0,0,0,0,14307,19853,12819,14747,13933,0,9237,0,16480,20416,11881,15525,0,12264,12359,0,16389,12776,0,6846,8402,10042,8462,0,12976,5769,26527,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2209425,523,M340_R523_3658,NA,0,none,0,0,0,7848,8452,8305,0,0,0,0,0,0,0,0,0,9806,0,0,0,0,0,0,0,0,0,0,0,0,7468,0,0,0,0,0,0,0,0,0,0,0,0,9874,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.2363869,1038,M340_R1038_3659,CMP2119,6242,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9490,341.2437,NA,2,100,NA,NA,NA,[M-H]-,NA
