mz,intensity,rt,group
201.264,13963,492,M201_R492_645
201.3372,122090,313,M201_R313_646
201.8925,54679,1134,M202_R1134_648
202.08,14063,52,M202_R52_649
202.1123,157435,434,M202_R434_651
202.1164,2036177,298,M202_R298_652
202.1526,147103,497,M202_R497_653
203.0921,702941,52,M203_R52_655
203.0923,136151,188,M203_R188_656
203.1077,11993,588,M203_R588_657
203.1193,66864,316,M203_R316_658
204.1241,5983875,134,M204_R134_659
204.2385,65245,134,M204_R134_660
204.3497,18674,146,M204_R146_661
205.0147,12096,264,M205_R264_664
205.0862,35644,655,M205_R655_670
205.0868,99853,317,M205_R317_671
205.0982,39540,321,M205_R321_672
205.1268,364720,139,M205_R139_673
205.1277,81562,129,M205_R129_674
205.1598,981333,612,M205_R612_676
205.2751,20421,613,M205_R613_677
206.0726,142936,539,M206_R539_678
206.0818,16549,277,M206_R277_680
206.1289,10658,134,M206_R134_683
206.1625,84473,625,M206_R625_685
206.9978,39630,474,M207_R474_687
207.0119,56032,249,M207_R249_688
207.0301,10572,510,M207_R510_689
207.0662,14955,338,M207_R338_690
207.0654,10403,53,M207_R53_692
207.0698,536106,1053,M207_R1053_693
207.1023,24129,311,M207_R311_694
207.1021,33159,561,M207_R561_695
207.1028,17379,1005,M207_R1005_696
207.1387,10142,569,M207_R569_697
208.0611,38878,520,M208_R520_698
208.0768,15733,471,M208_R471_700
208.0979,690991,708,M208_R708_701
208.0982,157937,412,M208_R412_702
208.9954,24950,477,M209_R477_703
209.0452,62831,51,M209_R51_704
209.0449,74202,253,M209_R253_705
209.0609,188502,602,M209_R602_707
209.0853,14488428,455,M209_R455_708
209.0944,68272,308,M209_R308_709
209.0887,4305976,448,M209_R448_710
209.1171,51656,689,M209_R689_711
209.1175,10130,326,M209_R326_712
209.1177,26851,531,M209_R531_713
209.1183,43498,677,M209_R677_714
209.1191,23230,330,M209_R330_715
209.1547,535592,453,M209_R453_716
209.2015,518154,442,M209_R442_718
209.3128,164886,452,M209_R452_719
209.4153,53767,442,M209_R442_720
209.9481,31680,47,M210_R47_721
210.0069,28905,442,M210_R442_722
210.0759,31479,575,M210_R575_724
210.0767,272052,444,M210_R444_725
210.0885,1864729,457,M210_R457_726
210.1358,45947,486,M210_R486_728
210.1495,21170,528,M210_R528_729
210.158,43739,450,M210_R450_730
210.8962,109113,1173,M211_R1173_731
210.9799,21208331,644,M211_R644_732
211.0358,58349,349,M211_R349_733
211.0378,36569,53,M211_R53_734
211.0397,99673,517,M211_R517_735
211.0609,188108,162,M211_R162_736
211.0606,33506,51,M211_R51_737
211.0817,2284431,553,M211_R553_738
211.0823,853422,453,M211_R453_739
211.0975,1183888,188,M211_R188_740
211.0976,537014,54,M211_R54_741
211.0977,622781,288,M211_R288_742
211.0962,831249,647,M211_R647_743
211.1128,190484,704,M211_R704_744
211.134,385910,476,M211_R476_745
211.1341,391208,857,M211_R857_746
211.1703,35715,782,M211_R782_748
211.2091,231410,650,M211_R650_749
211.3122,16430,621,M211_R621_750
211.9836,1947776,647,M212_R647_751
212.0719,13562,596,M212_R596_755
212.09,257382,545,M212_R545_756
212.1003,99680,197,M212_R197_757
212.9773,7763428,647,M213_R647_760
213.0553,1145476,571,M213_R571_762
213.0552,323229,365,M213_R365_763
213.067,216985,674,M213_R674_764
213.0692,30963,533,M213_R533_765
213.0767,649779,52,M213_R52_766
213.0942,99349,649,M213_R649_767
213.1133,1428789,325,M213_R325_768
213.1249,13194,473,M213_R473_769
213.1498,479593,542,M213_R542_770
213.1498,131695,1026,M213_R1026_771
213.1493,78915,924,M213_R924_772
213.1497,73929,1111,M213_R1111_773
213.1861,1189428,841,M213_R841_774
213.2077,12856,621,M213_R621_775
213.2672,37989,465,M213_R465_776
213.9638,772245,212,M214_R212_777
213.9637,932606,52,M214_R52_778
213.9809,428514,649,M214_R649_779
214.032,85625,338,M214_R338_780
214.0508,8018443,619,M214_R619_781
214.0591,45020,582,M214_R582_782
214.1089,85344,287,M214_R287_786
214.1444,2199954,335,M214_R335_787
214.1532,21752,569,M214_R569_788
214.1534,165968,465,M214_R465_789
214.1692,245339,627,M214_R627_791
214.1891,53442,855,M214_R855_792
214.2808,99877,626,M214_R626_793
214.9345,14777,309,M215_R309_795
214.9662,29376,52,M215_R52_797
215.054,1019182,626,M215_R626_800
215.0922,1549329,52,M215_R52_801
215.0921,187376,173,M215_R173_802
215.1273,11447,995,M215_R995_803
215.1285,13423637,396,M215_R396_804
215.1285,448212,911,M215_R911_805
215.1288,83429,1031,M215_R1031_806
215.1461,66525,337,M215_R337_807
215.1556,50585,648,M215_R648_808
215.1647,1738649,550,M215_R550_809
215.2466,1212170,371,M215_R371_810
215.2831,38685,509,M215_R509_811
215.3601,422019,372,M215_R372_812
215.9599,29941,52,M216_R52_815
215.9816,756188,521,M216_R521_816
216.0559,58673,626,M216_R626_817
216.0807,304552,766,M216_R766_818
216.0961,54474,52,M216_R52_820
216.1141,21760,383,M216_R383_822
216.132,4458707,366,M216_R366_824
216.1684,456827,507,M216_R507_825
216.8541,1532815,1164,M217_R1164_826
216.9325,14670,307,M217_R307_827
216.966,354006,322,M217_R322_828
217.0423,485754,719,M217_R719_830
217.0429,10182,263,M217_R263_831
217.0658,985096,702,M217_R702_832
217.0772,1830386,553,M217_R553_834
217.0846,30194,766,M217_R766_835
217.0781,13285,299,M217_R299_836
217.1082,208492,214,M217_R214_838
217.1082,174428,52,M217_R52_839
217.1343,246019,382,M217_R382_841
217.8537,32648,1164,M218_R1164_843
217.979,103128,533,M218_R533_845
218.0452,39768,732,M218_R732_846
218.0692,81525,704,M218_R704_847
218.0802,68095,561,M218_R561_848
218.8503,11057,1149,M219_R1149_850
218.9627,35769,314,M219_R314_851
219.04,130289,732,M219_R732_853
219.087,10217,872,M219_R872_854
219.087,1360702,53,M219_R53_855
219.103,32054,490,M219_R490_856
219.1031,11221,630,M219_R630_857
219.139,499423,580,M219_R580_859
219.1753,137959,888,M219_R888_860
220.0555,19701,545,M220_R545_861
220.0906,15881,52,M220_R52_862
220.0982,370304,735,M220_R735_863
220.1468,352938,542,M220_R542_865
220.9676,47029,324,M221_R324_866
221.0086,11349,264,M221_R264_867
221.0277,189148,291,M221_R291_868
221.0456,11857,416,M221_R416_869
221.0818,6206257,350,M221_R350_870
221.0855,1237741,1072,M221_R1072_871
221.0818,449370,228,M221_R228_872
221.0851,66903,589,M221_R589_873
221.1012,23039,735,M221_R735_874
221.1026,24804,70,M221_R70_875
221.119,58839,587,M221_R587_876
221.1308,847392,438,M221_R438_877
221.1401,13281,201,M221_R201_878
221.2016,23628,347,M221_R347_881
221.2495,17616,504,M221_R504_882
222.0849,463439,338,M222_R338_884
222.0889,25777,1075,M222_R1075_885
222.1137,94804,744,M222_R744_886
222.1336,58369,504,M222_R504_888
223.0249,1322558,842,M223_R842_890
223.04,644648,538,M223_R538_892
223.0606,23167,51,M223_R51_893
223.0637,58324,358,M223_R358_894
223.0761,47107,643,M223_R643_895
223.082,11215,1074,M223_R1074_896
223.1001,900681,546,M223_R546_897
223.0982,11524,252,M223_R252_899
223.1241,65688,565,M223_R565_900
223.1342,46482,396,M223_R396_902
223.17,294838,489,M223_R489_904
223.2069,23533,715,M223_R715_906
223.2183,32917,587,M223_R587_907
223.2548,10117,669,M223_R669_908
224.0433,49225,543,M224_R543_911
224.0826,23096,422,M224_R422_913
224.0824,12513,691,M224_R691_914
224.1039,160583,531,M224_R531_915
224.1081,305076,770,M224_R770_916
224.1653,47984,586,M224_R586_918
224.1658,84846,1038,M224_R1038_919
224.1693,14665,470,M224_R470_920
225.0407,15522,330,M225_R330_923
225.0552,251238,539,M225_R539_924
225.0489,91556,705,M225_R705_925
225.0765,88257,52,M225_R52_926
225.0763,20285,205,M225_R205_927
225.0784,23301,300,M225_R300_928
225.0919,1479361,674,M225_R674_929
225.0967,27594,218,M225_R218_930
225.1131,1715823,305,M225_R305_931
225.1131,84519,635,M225_R635_932
225.1495,326142,568,M225_R568_933
225.1495,102508,694,M225_R694_934
225.1609,3614274,177,M225_R177_935
225.186,5255320,838,M225_R838_936
225.2123,12536,670,M225_R670_937
225.2219,734942,753,M225_R753_938
225.2332,10288,360,M225_R360_939
225.2823,56226,167,M225_R167_940
225.3063,90898,828,M225_R828_941
226.0272,62305,636,M226_R636_944
226.0626,56379,454,M226_R454_945
226.0951,95426,678,M226_R678_947
226.1164,202526,350,M226_R350_948
226.1485,21795,575,M226_R575_950
226.1639,339345,165,M226_R165_951
226.1893,736801,841,M226_R841_952
226.2259,20910,753,M226_R753_953
227.0346,152329,505,M227_R505_954
227.0344,96400,634,M227_R634_955
227.0352,36969,404,M227_R404_956
227.0586,11152,688,M227_R688_957
227.0491,13509,371,M227_R371_958
227.0711,131681,433,M227_R433_959
227.0715,440428,550,M227_R550_960
227.0929,554147,52,M227_R52_961
227.0927,62237,226,M227_R226_962
227.1077,1907021,555,M227_R555_963
227.1292,1796337,377,M227_R377_964
227.1288,11904,540,M227_R540_965
227.1399,10768,547,M227_R547_968
227.1398,12423,331,M227_R331_969
227.1438,24473,681,M227_R681_970
227.1653,499177,605,M227_R605_971
227.1653,44713,1107,M227_R1107_972
227.1653,61146,812,M227_R812_973
227.2018,115788,749,M227_R749_975
227.2017,20405631,902,M227_R902_976
227.323,982591,921,M227_R921_978
227.4387,258046,929,M227_R929_979
227.9894,36794,328,M228_R328_980
228.0333,313515,159,M228_R159_981
228.0302,97278,535,M228_R535_982
228.0529,178090,513,M228_R513_983
228.0751,34355,560,M228_R560_985
228.1112,168269,558,M228_R558_988
228.1245,72018,257,M228_R257_989
228.1316,60609,371,M228_R371_990
228.1605,5010962,397,M228_R397_991
228.1684,56768,516,M228_R516_993
228.2052,3633881,911,M228_R911_994
228.2824,15508,376,M228_R376_995
228.5548,32879,507,M229_R507_996
228.9514,156468,481,M229_R481_997
228.991,5854056,646,M229_R646_998
228.991,2156788,377,M229_R377_999
229.0507,43716,272,M229_R272_1000
229.0503,35922,496,M229_R496_1002
229.0505,18597,435,M229_R435_1003
229.0716,37622,51,M229_R51_1004
229.1082,348903,53,M229_R53_1007
229.1127,23502,621,M229_R621_1008
229.1085,268190,207,M229_R207_1009
229.1446,15637542,442,M229_R442_1010
229.1445,185855,274,M229_R274_1011
229.144,42636,1028,M229_R1028_1013
229.1441,44565,1112,M229_R1112_1014
229.1616,313944,392,M229_R392_1015
229.1809,1170138,602,M229_R602_1016
229.208,174727,928,M229_R928_1017
229.2667,308906,425,M229_R425_1018
229.3836,53044,428,M229_R428_1019
229.9942,301472,650,M230_R650_1021
229.9941,92401,401,M230_R401_1022
230.0372,103720,440,M230_R440_1023
230.1396,263343,211,M230_R211_1026
230.1396,23555,872,M230_R872_1027
230.148,1935487,425,M230_R425_1028
230.1839,57742,564,M230_R564_1031
230.9479,163531,481,M231_R481_1032
230.9878,2175045,646,M231_R646_1033
230.9883,522195,383,M231_R383_1034
231.0098,205952,576,M231_R576_1035
231.0306,10649,412,M231_R412_1036
231.0656,460944,608,M231_R608_1037
231.087,556367,52,M231_R52_1040
231.1032,102659,659,M231_R659_1041
231.1235,2166215,294,M231_R294_1044
231.123,21500,53,M231_R53_1045
231.1392,17250,741,M231_R741_1047
231.15,60466,429,M231_R429_1048
231.1597,11138,517,M231_R517_1049
231.246,19888,289,M231_R289_1050
231.9911,31050,649,M232_R649_1052
231.9914,11941,379,M232_R379_1053
232.0129,11003,547,M232_R547_1054
232.0437,2083863,558,M232_R558_1056
232.07,37900,608,M232_R608_1057
232.1058,11113,659,M232_R659_1059
232.1272,130689,296,M232_R296_1060
232.1665,32094,550,M232_R550_1061
232.9845,15455,649,M233_R649_1064
233.0067,95439,578,M233_R578_1065
233.02,182909,408,M233_R408_1066
233.0471,164139,566,M233_R566_1067
233.0721,135575,421,M233_R421_1068
233.0821,10955,390,M233_R390_1069
233.103,856054,52,M233_R52_1070
233.1029,452782,172,M233_R172_1071
