mz,rt,intensity,Formula
287.9808,1,793,C5F12
287.9808,1,128,C5F12
288.0145,1,511,C6H4F8N2O2
288.0233,1,193,C7H7F7O4
288.0246,1,530,C8H3F7N4
288.0385,1,976,C11H7F7O
288.0385,1,545,C11H7F7O
288.0385,1,1000,C11H7F7O
288.0385,1,882,C11H7F7O
288.0561,1,303,C9H9F9
288.0596,1,527,C8H11F7O3
289.0338,1,201,C10H6F7NO
289.0338,1,492,C10H6F7NO
289.0701,1,882,C11H10F7N
289.0701,1,688,C11H10F7N
289.0701,1,437,C11H10F7N
289.9825,1,932,C6H2F8O4
289.9989,1,187,C7H3F9O2
289.9989,1,573,C7H3F9O2
289.9989,1,908,C7H3F9O2
290.0143,1,680,C6H9F6O4P
290.0178,1,540,C10H5F7O2
290.0178,1,224,C10H5F7O2
290.0178,1,109,C10H5F7O2
290.0178,1,752,C10H5F7O2
290.029,1,225,C9H5F7N2O
290.0349,1,390,C9H6BF7O2
290.0353,1,685,C8H7F9O
290.0353,1,493,C8H7F9O
290.0353,1,450,C8H7F9O
290.0353,1,731,C8H7F9O
290.0542,1,672,C11H9F7O
290.0717,1,446,C9H11F9
290.9942,1,240,C6H2F9NO2
291.013,1,316,C9H4F7NO2
291.013,1,794,C9H4F7NO2
291.013,1,747,C9H4F7NO2
291.013,1,507,C9H4F7NO2
291.0306,1,403,C7H6F9NO
291.0494,1,797,C10H8F7NO
291.0494,1,347,C10H8F7NO
292.0146,1,538,C7H5F9O2
292.0146,1,996,C7H5F9O2
292.0146,1,462,C7H5F9O2
292.033,1,714,C7H9F9Si
292.0334,1,982,C10H7F7O2
292.051,1,593,C8H9F9O
292.9251,1,192,C3HF6NO4S2
293.9494,1,180,C6ClF9O
293.9739,1,481,C6F10O2
293.9739,1,762,C6F10O2
293.9938,1,592,C6H3F9O3
294.0046,1,195,C10H6ClF7
294.0127,1,751,C9H5F7O3
294.0239,1,570,C8H5F7N2O2
294.0302,1,437,C7H7F9O2
294.0491,1,443,C10H9F7O2
294.0491,1,436,C10H9F7O2
294.9855,1,607,C6F11N
295.0055,1,369,C6H3F10NO
295.0192,1,333,C7H4F7N3O2
295.0807,1,744,C10H12F7NO
295.0807,1,210,C10H12F7NO
295.0807,1,733,C10H12F7NO
295.8933,1,645,C3F7I
295.8933,1,839,C3F7I
295.9486,1,434,C5HClF8O3
295.965,1,933,C6H2ClF9O
295.9731,1,916,C5HF9O4
295.9854,1,416,C7H3F7N2OS
295.9854,1,107,C7H3F7N2OS
295.9895,1,738,C6H2F10O2
295.9895,1,176,C6H2F10O2
296.0059,1,133,C7H3F11
296.0059,1,178,C7H3F11
296.0248,1,868,C10H5F9
296.0259,1,863,C7H6F10O
296.0436,1,410,C13H7F7
296.0483,1,161,C9H10F6O4
296.0647,1,497,C10H11F7O2
296.0647,1,342,C10H11F7O2
296.0647,1,154,C10H11F7O2
296.076,1,755,C9H11F7N2O
296.1375,1,197,C12H19F7
296.9791,1,894,C8H3ClF7NO
297.0388,1,722,C12H6F7N
297.0388,1,487,C12H6F7N
297.0388,1,963,C12H6F7N
297.06,1,885,C9H10F7NO2
297.0964,1,263,C10H14F7NO
297.904,1,942,C4BrF9
297.971,1,329,C5H3F9O2S
297.9852,1,132,C6HF11O
298.0052,1,910,C6H4F10O2
298.0216,1,243,C7H5F11
298.0229,1,169,C12H5F7O
298.0229,1,922,C12H5F7O
298.044,1,608,C9H9F7O3
298.044,1,674,C9H9F7O3
298.0804,1,982,C10H13F7O2
298.0916,1,240,C9H13F7N2O
298.9663,1,715,C4H2F9NO2S
298.9804,1,425,C5F11NO
299.0168,1,365,C6H4F11N
299.0215,1,477,C8H8F7NOS
299.0392,1,511,C8H8F7NO3
299.0392,1,133,C8H8F7NO3
299.0392,1,558,C8H8F7NO3
299.0545,1,806,C12H8F7N
299.0576,1,157,C8H12F7NOSi
299.9503,1,443,C4HF9O3S
299.9503,1,109,C4HF9O3S
299.9503,1,782,C4HF9O3S
299.9598,1,600,C4H2F9O3P
299.9808,1,459,C6F12
299.9808,1,444,C6F12
299.9808,1,392,C6F12
299.9808,1,585,C6F12
299.9808,1,838,C6F12
299.9808,1,440,C6F12
299.9808,1,763,C6F12
299.9808,1,713,C6F12
299.9808,1,429,C6F12
299.9808,1,940,C6F12
300.0008,1,837,C6H3F11O
300.0008,1,810,C6H3F11O
300.0008,1,555,C6H3F11O
300.0233,1,578,C8H7F7O4
300.0233,1,729,C8H7F7O4
300.0233,1,563,C8H7F7O4
300.0385,1,607,C12H7F7O
300.0397,1,202,C9H8F8O2
300.096,1,858,C10H15F7O2
301.0185,1,446,C7H6F7NO4
301.0338,1,847,C11H6F7NO
301.0701,1,608,C12H10F7N
301.9148,1,323,C4Cl2F8O2
301.9215,1,239,C4ClF9OS
301.9459,1,531,C4F10O2S
301.9789,1,320,C8F10O
301.9812,1,598,C8H3F9S
301.9965,1,945,C6H2F12
301.9965,1,109,C6H2F12
302.0016,1,458,C12H11ClO5S
302.0138,1,141,C6H5F7N2O4
302.0178,1,525,C11H5F7O2
302.0211,1,448,C8H9F7O2S
302.029,1,822,C10H5F7N2O
302.0353,1,722,C9H7F9O
302.0542,1,902,C12H9F7O
302.0542,1,537,C12H9F7O
302.0542,1,833,C12H9F7O
302.0717,1,705,C10H11F9
303.013,1,579,C10H4F7NO2
303.0355,1,774,C8H4F7N5
303.0494,1,331,C11H8F7NO
303.0494,1,388,C11H8F7NO
303.0494,1,356,C11H8F7NO
303.9698,1,243,C7H8BrF7
303.9758,1,167,C5F12O
303.9758,1,411,C5F12O
